Title,Rating1,Rating2,Year,imdb
Pauline at the Beach,3,6,1983,tt0086087
Trading Places,,6,1983,tt0086465
Halloween,3,6,1978,tt0077651
The Omen,3,6,1976,tt0075005
Blazing Saddles,3,6,1974,tt0071230
The Man Who Sleeps,3,6,1974,tt0192718
The Texas Chainsaw Massacre,3,6,1974,tt0072271
The Exorcist,3,6,1973,tt0070047
Don’t Look Now,3,6,1973,tt0069995
The Holy Mountain,3,6,1973,tt0071615
The French Connection,3,6,1971,tt0067116
Harold and Maude,3,6,1971,tt0067185
Last Year at Marienband,3,6,1971,tt0054632
Guess Whos Coming to Dinner,3,6,1967,tt0061735
Two for the Road,3,6,1967,tt0062407
Closely Watched Trains,3,6,1966,tt0060802
Happiness,3,6,1965,tt0058985
Seven Days in May,3,6,1964,tt0058576
The Birds,3,6,1963,tt0056869
The Housemaid,3,6,1960,tt0150980
Late Spring,3,6,1949,tt0041154
Shadows,3,6,1959,tt0053270
Cat on a Hot Tin Roof,3,6,1958,tt0051459
The Lovers,3,6,1958,tt0052556
The Long Hot Summer,3,6,1958,tt0051878
White Nights,3,6,1957,tt0050782
Giant,3,6,1956,tt0049261
The Ten Commandments,3,6,1956,tt0049833
The Searchers,3,6,1956,tt0049730
East of Eden,3,6,1955,tt0048028
The Caine Mutiny,3,6,1954,tt0046816
Magnificent Obsession,3,6,1954,tt0047203
Les Diaboloques,4,6,1955,tt0046911
High Noon,3,6,1952,tt0044706
The Day the Earth Stood Still,3,6,1951,tt0043456
Harvey,3,6,1950,tt0042546
Strangers on a Train,4,6,1951,tt0044079
Laura,3,6,1944,tt0037008
The Life and Death of Colonel Blimp,3,6,1943,tt0036112
Ninotchka,3,6,1939,tt0031725
Sullivans Travels,4,6,1941,tt0034240
Port of Shadows,3,6,1938,tt0030643
Baby Face,3,6,1933,tt0023775
The General,3,6,1926,tt0017925
The Navigator,3,6,1924,tt0015163
The Skeleton of Mrs Morales,3,6,1960,tt0052784
The White Dawn,3,6,1974,tt0072403
Happy Together,3,6,1997,tt0118845
Memories of Underdevelopment,3,6,1968,tt0063291
Tropical Malady,3,6,2004,tt0381668
In The Mood for Love,,6,2000,tt0118694
The Shop Around the Corner,,6,1940,tt0033045
All That Heaven Allows,,6,1955,tt0047811
Aladdin,,6,1992,tt0103639
True Lies,3,6,1994,tt0111503
The Banshees of Insherin,3,6,2022,tt11813216
Mean Creek,3,6,2004,tt0377091
The Green Ray,3,6,1986,tt0091830
Herod's Law,3,6,2000,tt0221344
I'm Thinking of Ending Things,3,6,2020,tt7939766
Dune,3,5,2021,tt1160419
The King,2,5,2019,tt7984766
Knives Out,2,5,2019,tt8946378
Us,3,5,2019,tt6857112
Once Upon a Time in Hollywood,3,5,2019,tt7131622
Jojo Rabbit,3,5,2019,tt2584384
Roma,2,5,2018,tt6155172
Black Panther,3,5,2018,tt1825683
Ladybird,3,5,2018,tt4925292
Spiderman Into the Spiderverse,3,5,2018,tt4633694
Dunkirk,2,5,2017,tt5013056
Good Time,2,5,2017,tt4846232
Thor Ragnarok,3,5,2017,tt3501632
The Shape of Water,3,5,2017,tt5580390
Captain America Civil War,2,5,2016,tt3498820
Hacksaw Ridge,2,5,2016,tt2119532
Silence,2,5,2016,tt0490215
Hell or High Water,3,5,2016,tt2582782
Deadpool,3,5,2016,tt1431045
Graduation,3,5,2016,tt4936450
Mustang,2,5,2015,tt3966404
The Big Short,3,5,2015,tt1596363
Spy,3,5,2015,tt3079380
Mad Max Fury Road,3,5,2015,tt1392190
The Revenant,3,5,2015,tt1663202
Carol,3,5,2015,tt2402927
Bridge of Spies,3,5,2015,tt3682448
Beasts of No Nation,3,5,2015,tt1365050
Ant-Man,3,5,2015,tt0478970
22 Jump Street,1,5,2014,tt2294449
The Grand Budapest Hotel,3,5,2014,tt2278388
Kingsman Secret Service,3,5,2014,tt2802144
Captain America The Winter Soldier,3,5,2014,tt1843866
Into the Woods,2,5,2014,tt2180411
Big Hero 6,3,5,2014,tt2245084
The Lego Movie,2,5,2014,tt1490017
Don Jon,3,5,2013,tt2229499
100 Bloody Acres,3,5,2013,tt2290065
Her,3,5,t,tt1798709
Gravity,3,5,2013,tt1454468
Joe,3,5,2013,tt2382396
Dallas Buyer's Club,2,5,2013,tt0790636
Blue Jasmine,3,5,2013,tt2334873
Prometheus,2,5,2012,tt1446714
The Hobbit an Unexpected Journey,2,5,2012,tt0903624
Argo,3,5,2012,tt1024648
Cloud Atlas,3,5,2012,tt1371111
Seven Psychopaths,3,5,2012,tt1931533
Wreck-It Ralph,3,5,2012,tt1772341
The Cabin in the Woods,2,5,2012,tt1259521
The Hunger Games,2,5,2012,tt1392170
X-Men First Class,3,5,2011,tt1270798
30 Minutes or Less,3,5,2011,tt1622547
Bridesmaids,2,5,2011,tt1478338
Attack the Block,2,5,2011,tt1478964
Source Code,2,5,2011,tt0945513
Limitless,3,5,2011,tt1219289
The Devil's Double,2,5,2011,tt1270262
God Bless America,2,5,2011,tt1912398
Incendies,2,5,2010,tt1255953
Toy Story 3,3,5,2010,tt0435761
RED,2,5,2010,tt1245526
Stone,,5,2010,tt1423995
Easy A,,5,2010,tt1282140
The Last Exorcism,,5,2010,tt1320244
Despicable Me,,5,2010,tt1323594
Knight and Day,,5,2010,tt1013743
Splice,,5,2010,tt1017460
Harry Brown,,5,2010,tt1289406
How to Train Your Dragon ,,5,2010,tt0892769
The Book of Eli,,5,2010,tt1037705
Castaway on the Moon,3,5,2009,tt1499666
Law Abiding Citizen,,5,2009,tt1197624
Bronson,,5,2009,tt1172570
The Time Travaler's Wife,,5,2009,tt8783930
Harry Potter and the Half-Blood Prince,,5,2009,tt0417741
The Hangover,,5,2009,tt1119646
Up,,5,2009,tt1049413
Drag me to Hell,,5,2009,tt1127180
X-Men Origins Wolverine,,5,2009,tt0458525
Crossing Over,,5,2009,tt0924129
The Curious Case of Benjamin Button,,5,2008,tt0421715
Seven Pounds,,5,2008,tt0814314
Slumdog Millionare,,5,2008,tt1010048
The Boy in Striped Pajamas,,5,2008,tt0914798
WALL-E,,5,2008,tt0910970
The Fall,,5,2006,tt0460791
Harry Potter and the Order of the Phoenix,2,5,2007,tt0373889
Beowulf,,5,2007,tt0442933
Live Free or Die Hard,,5,2007,tt0337978
Knocked Up,,5,2007,tt0478311
Zodiac,,5,2007,tt0443706
Takva,2,5,2006,tt0499262
Curse of the Golden Flower,,5,2006,tt0473444
The Pursuit of Happiness,,5,2006,tt0454921
Kingdom of Heaven,3,5,2005,tt0320661
Brick,3,5,2005,tt0393109
Kiss Kiss Bang Bang,3,5,2005,tt0373469
Me and You and Everyone We Know,3,5,2005,tt0415978
Hotel Rwanda,3,5,2004,tt0395169
Million Dollar Baby,3,5,2004,tt0405159
Dawn of the Dead,3,5,2004,tt0363547
Anchorman,3,5,2004,tt0357413
Swing Girls,3,5,2004,tt0435434
3-Iron,3,5,2004,tt0423866
Catch me if you Can,3,5,2002,tt0264464
The Ring,3,5,2002,tt0298130
Gangs of New York,3,5,2002,tt0217505
Harry Potter and the Philosopher's Stone,2,5,2001,tt0241527
The Others,3,5,2001,tt0230600
Ghost World,3,5,2001,tt0162346
Unbreakable,3,5,2000,tt0217869
Almost Famous,3,5,2000,tt0181875
X-Men,3,5,2000,tt0120903
Brat 2,3,5,2000,tt0238883
In July,3,5,2000,tt0177858
The Blair Witch Project,3,5,1999,tt0250990
Ghost Dog Way of the Samurai,3,5,1999,tt0165798
The Sixth Sense,3,5,1999,tt0167404
Donnie Brasco,3,5,1997,tt0119008
Face/Off,3,5,1997,tt0119094
Leila,2,5,1996,tt0116851
Living in Oblivion,3,5,1995,tt0113677
Fallen Angels,3,5,1995,tt0112913
Friday,3,5,1995,tt0113118
Three Colours: Red,2,5,1994,tt0111495
Interview with the Vampire,,5,1994,tt0110148
Forrest Gump,,5,1994,tt0109830
A Bronx Tale,3,5,1993,tt0106489
Hardboiled,3,5,1992,tt0104684
Twin Peaks Fire Walk With Me,3,5,1992,tt0105665
Three Colours: Blue,3,5,1992,tt0108394
Barton Fink,3,5,1991,tt0101410
Delicatassen,3,5,1991,tt0101700
The Witches,3,5,1990,tt0100944
Miller's Crossing,3,5,1990,tt0100150
Cyrano De Bergerac,3,5,1990,tt0099334
Do the Right Thing,3,5,1989,tt0097216
Batman,3,5,1989,tt0096895
Dirty Rotten Scoundrels,3,5,1988,tt0095031
Dangerous Liasions,3,5,1988,tt0094947
Damnation,2,5,1987,tt0095475
Raising Arizona,3,5,1987,tt0093822
Down By Law,3,5,1986,tt0090967
Abel,3,5,1986,tt0090579
Gremlins,3,5,1984,tt0087363
Local Hero,3,5,1983,tt0085859
ET,3,5,1982,tt0083866
Gandhi,3,5,1982,tt0083987
Fitzcarraldo,3,5,1982,tt0083946
Reds,3,5,1981,tt0082979
My Dinner With Andre,3,5,1981,tt0082783
The Postman Always Rings Twice,3,5,1946,tt0038854
Stepfather,3,5,1981,tt0082054
Escape From Alcatraz,3,5,1979,tt0079116
Killer of Sheep,2,5,1978,tt0076263
Shaolin Challenges Ninja,3,5,1978,tt0080172
"Ugly, Dirty and Bad",3,5,1976,tt0074252
Jaws,3,5,1975,tt0073195
Monty Python and the Holy Graill,3,5,1975,tt0071853
Fantastic Planet,3,5,1973,tt0070544
The Way We Were,3,5,1973,tt0070903
O Lucky Man,3,5,1973,tt0070464
Aguuire Wrath of God,2,5,1972,tt0068182
Cries and Whispers,3,5,1972,tt0069467
The Heartbreak Kid,3,5,1972,tt0068687
Get Carter,3,5,1971,tt0067128
MASH,3,5,1970,tt0066026
The Wild Bunch,3,5,1969,tt0065214
If…,3,5,1968,tt0063850
In Cold Blood,3,5,1967,tt0061809
Andrei Rublev,3,5,1966,tt0060107
"The Good, the Bad and the Ugly",3,5,1966,tt0060196
How To Steal a Million,3,5,1966,tt0060522
The Pornographers,3,5,1966,tt0060560
Band of Outlaws,3,5,1964,tt0057869
Ivan's Childhood,2,5,1962,tt0056111
Funeral Parade of Ross,2,5,1962,tt0064068
Whatever Happened to Baby Jane,3,5,1962,tt0056687
Mamma Roma,3,5,1962,tt0056215
Easy Life,3,5,1962,tt0056512
The Children's Hour,3,5,1961,tt0054743
Through a Glass Darkly,3,5,1961,tt0055499
"Leon Morin, Priest",3,5,1961,tt0055082
Breathless,3,5,1960,tt0053472
North by Northwest,3,5,1959,tt0053125
Cairo Station,3,5,1958,tt0051390
Throne of Blood,3,5,1957,tt0050613
A Face in the Crowd,3,5,1957,tt0050371
The Incredible Shrinking Man,3,5,1957,tt0050539
The Man Who Knew Too Much,3,5,1956,tt0049470
Aparjito,3,5,1956,tt0048956
Written on the Wind,3,5,1956,tt0049966
Blackboard Jungle,3,5,1955,tt0047885
Riffi,3,5,1955,tt0048021
Hobson's Choice,3,5,1954,tt0047094
Stalag 17,3,5,1953,tt0046359
From Here to Eternity,3,5,1953,tt0045793
Night and the City,3,5,1950,tt0042788
Kind Hearts and Coronets,3,5,1949,tt0041546
The Third Man,3,5,1949,tt0041959
Madame Bovary,3,5,1949,tt0041615
Drunken Angel,3,5,1948,tt0040979
Key Largo,3,5,1948,tt0040506
The Red Shoes,3,5,1948,tt0040725
Letter from an Unknown Woman,3,5,1948,tt0040536
Nightmare Alley,2,5,1947,tt0039661
Out of the Past,3,5,1947,tt0039689
Dark Passage,3,5,1947,tt0039302
Detour,3,5,1945,tt0037638
The Lost Weekend,3,5,1945,tt0037884
The Picture of Dorian Gray,3,5,1945,tt0037988
Arsenic and Old Lace,3,5,1944,tt0036613
Day of Wrath,3,5,1943,tt0036506
The Ox-Bow Incident,3,5,1943,tt0036244
Yankee Doodle Dandy,3,5,1942,tt0035575
The Magnificent Ambersons,3,5,1942,tt0035015
Grapes of Wrath,3,5,1940,tt0032551
Remember the Night,3,5,1940,tt0032981
My Favourite Wife,3,5,1940,tt0029284
His Girl Friday,3,5,1940,tt0032599
The Wizard of Oz,3,5,1939,tt0032138
Stagecoach,3,5,1939,tt0031971
Jezebel,3,5,1938,tt0030287
Dead End,3,5,1937,tt0028773
The Awful Truth,3,5,1937,tt0028597
It Happened One Night,3,5,1934,tt0025316
Human Bondage,3,5,1934,tt0025586
L'Atlante,3,5,1934,tt0024844
Duck Soup,3,5,1933,tt0023969
Scarface,3,5,1932,tt0023427
Faust,3,5,1926,tt0016847
Sherlock Jr,3,5,1924,tt0015324
Safety Last,3,5,1923,tt0014429
Destiny,3,5,1921,tt0012494
Sao Paulo SA,2,5,1965,tt0195324
The Strawberry Blonde,3,5,1941,tt0034236
Live Flesh,3,5,1997,tt0118819
Sexmission,3,5,1984,tt0088083
"O Brother, Where Art Thou?",,5,2000,tt0190590
Waterloo Bridge,,5,1940,tt0033238
Shame,,5,1968,tt0063611
Love in the Afternoon,,5,1957,tt0050658
The Adultress,3,5,1953,tt0046429
Risky Business,3,5,1983,tt0086200
Hud,3,5,1963,tt0057163
Sexy Beast,3,5,2000,tt0203119
Serie Noire,3,5,1979,tt0079980
A Big Hand for the Little Lady,3,5,1966,tt0060165
I Stand Alone,3,5,1998,tt0157016
What's Up Doc,3,5,1972,tt0069495
Othello,3,5,1952,tt0045251
Nine Queens,3,5,2000,tt0247586
The One I Love,3,5,2014,tt2756032
Alfie,3,5,1966,tt0060086
Climates,3,5,2006,tt0498097
The Honey Pot,3,5,1967,tt0061780
Tristana,3,5,1970,tt0066491
Once Upon a Time in America,3,5,1984,tt0087843
Bleeder,3,5,1999,tt0161292
The Worst Person in the World,2,4,2021,tt10370710
Dogs Don’t Wear Pants,2,4,2019,tt9074574
It,1,4,2017,tt1396484
Spiderman Homecoming,1,4,2017,tt2250912
Star Wars Episode VIII The Last Jedi,1,4,2017,tt2527336
Phantom Thread,2,4,2017,tt5776858
Logan,3,4,2017,tt3315342
Doctor Strange,2,4,2016,tt1211837
Arrival,2,4,2016,tt2543164
Star Wars Force Awakens,1,4,2015,tt2488496
Spotlight,3,4,2015,tt1895587
Inherent Vice,1,4,2014,tt1791528
The Raid 2,2,4,2014,tt2265171
Boyhood,2,4,2014,tt1065073
Still Alice,3,4,2014,tt3316960
The Theory of Everything,3,4,2014,tt2980516
Dear White People,2,4,2014,tt5707802
Mommy,2,4,2014,tt3612616
Man of Steel,1,4,2013,tt0770828
Under the Skin,2,4,2013,tt1441395
Hope,2,4,2013,tt3153634
12 Years a Slave,3,4,2013,tt2024544
Moebius,3,4,2013,tt2942522
Hunger Games Catching Fire,2,4,2013,tt1951264
We're the Millers,2,4,2013,tt1723121
The World's End,2,4,2013,tt1213663
Pacific Rim,2,4,2013,tt1663662
Despicable Me 2,2,4,2013,tt1690953
The Bling Ring,2,4,2013,tt2132285
The Place Beyond the Pines,2,4,2013,tt1817273
Life of Pi,2,4,2012,tt0454876
Skyfall,2,4,2012,tt1074638
Looper,2,4,2012,tt1276104
Brave,2,4,2012,tt1217209
This Means War,2,4,2012,tt1596350
Cockneys Vs Zombies,2,4,2012,tt1362058
Barbie Princess and the Popstar,2,4,2012,tt2396690
Tyrannosaur,2,4,2011,tt1204340
The Artist,2,4,2011,tt1655442
Mission Impossible Ghost Protocol,2,4,2011,tt1229238
In Time,3,4,2011,tt1637688
Captain America First Avenger,2,4,2011,tt0458339
Thor ,2,4,2011,tt0800369
Rio,2,4,2011,tt1436562
Unknown,2,4,2011,tt1401152
The Mechanic,2,4,2011,tt0472399
Barbie Princess Charm School,3,4,2011,tt2066832
True Grit,2,4,2010,tt1403865
Harry Potter and the Deathly Hallows 1,2,4,2010,tt0926084
127 Hours,2,4,2010,tt1542344
The Expendables,,4,2010,tt1320253
The Other Guys,,4,2010,tt1386588
Salt,,4,2010,tt0944835
Predators,,4,2010,tt1424381
Green Zone,,4,2010,tt0947810
Sherlock Holmes,,4,2009,tt0988045
2012 Film,,4,2009,tt1190080
Precious,,4,2009,tt0929632
Surrogates,,4,2009,tt0986263
The Taking of Pelham 123,,4,2009,tt1111422
Knowing,,4,2009,tt0448011
Valkyrie,,4,2008,tt0985699
Twilight,,4,2008,tt1099212
Changeling,,4,2008,tt0824747
Jumper,,4,2008,tt0489099
CJ7,,4,2008,tt0940709
The Bank Job,,4,2008,tt0200465
Barbie and the Diamond Castle,,4,2008,tt1294138
Spider Man 3,2,4,2007,tt0413300
Persepolis,2,4,2007,tt0808417
Stardust,,4,2007,tt0486655
Disturbia,,4,2007,tt0486822
Evan Almighty,,4,2007,tt0413099
Ocean's Thirteen,,4,2007,tt0496806
Next,,4,2007,tt0435705
Shooter,,4,2007,tt0822854
Pirates of the Caribbean Dead Man's Chest,1,4,2006,tt0383574
Night at the Museum,,4,2006,tt0477347
Harry Potter and the Goblet of Fire,1,4,2005,tt0330373
Star Wars III,1,4,2005,tt0121766
King Kong,2,4,2005,tt0360717
13 Tazameti,2,4,2005,tt0475169
A Moment to Remember,2,4,2004,tt0428870
The Consequences of Love,2,4,2004,tt0398883
The Matrix Reloaded,1,4,2003,tt0234215
Sympathy for Mr Vengeance ,2,4,2002,tt0310775
Spy Kids 2,2,4,2002,tt0287717
Three Kings,2,4,1999,tt0120188
Green Mile,,4,1999,tt0120689
Funny Games,2,4,1997,tt0119167
Con Air,2,4,1997,tt0118880
The Life of Jesus,2,4,1997,tt0120448
Children of Heaven,3,4,1997,tt0118849
The Basketball Diaries,3,4,1995,tt0112461
Three Colours White,2,4,1994,tt0111507
Bram Stoker's Dracula,2,4,1992,tt0103874
The Karate Kid III,1,4,1989,tt0097647
The Little Mermaid,2,4,1989,tt0097757
Grave of the Fireflies,3,4,1988,tt0095327
The Unbearable Lightness of Being,2,4,1988,tt0096332
Matewan,2,4,1987,tt0093509
Tampopo,2,4,1985,tt0092048
Ghostbusters,,4,1984,tt0087332
Tender Mercies,2,4,1983,tt0086423
The Elephant Man,2,4,1980,tt0080678
Chloe in the Afternoon,2,4,1972,tt0068205
The Butcher,3,4,1970,tt0064106
Women In Love,2,4,1969,tt0066579
Hawks and Sparrows,2,4,1966,tt0061132
Pale Flower,2,4,1964,tt0056327
The Gospel According to St. Matthew,2,4,1964,tt0058715
Charade,3,4,1963,tt0056923
8 1/2 Film,3,4,1963,tt0056801
Cleo from 5 to 7,2,4,1962,tt0055852
La Avventura,2,4,1960,tt0053619
A Man Escaped,2,4,1956,tt0049902
Senso,2,4,1954,tt0047469
Viaggio in Italia,3,4,1954,tt0046511
The Earings of Madme De….,2,4,1953,tt0046022
The Life of Oharu,3,4,1952,tt0045112
Come Back Little Sheba,3,4,1952,tt0044509
The African Queen,3,4,1951,tt0043265
I Remember Mama,3,4,1948,tt0040458
Portrait of Jennie,2,4,1948,tt0040705
Gilda,2,4,1946,tt0038559
My Darling Clementine,3,4,1946,tt0038762
Went the Day Well,2,4,1942,tt0035429
Dark Victory,3,4,1939,tt0031210
The Only Son,3,4,1936,tt0027752
Triumph of the Will,2,4,1935,tt0025913
The Thin Man,3,4,1934,tt0025878
Trouble in Paradise,3,4,1932,tt0023622
He Who Gets Slapped,2,4,1924,tt0014972
Intolerance,2,4,1916,tt0006864
L'Inferno,2,4,1911,tt0002130
The Bandit,2,4,1953,tt0045595
Screwed in Tallinn,2,4,1999,tt0311926
Submarine,2,4,2011,tt1440292
The Pawnbroker,2,4,1964,tt0059575
The Man Who Would be King,2,4,1975,tt0073341
Atonement,2,4,2007,tt0783233
Hour of the Wolf,,4,1968,tt0063759
Spirited Away,,4,2001,tt0245429
Pierrot le Fou,,4,1965,tt0059592
Dry Summer,,4,1963,tt0062322
The Inheritance,2,4,1962,tt0056135
Strangers When We Met,2,4,1960,tt0054345
The Whip and the Body,2,4,1963,tt0057078
The Draughtsman's Contract,2,4,1982,tt0083851
The Child of Another,2,4,1976,tt0073417
Mr Blandings Builds His Dream House,2,4,1948,tt0040613
Metropolitan,2,4,1990,tt0100142
The Son,2,4,2002,tt0291172
Amores Perros,2,4,2000,tt0245712
Avengers Endgame,1,3,2019,tt4154796
The Farewell,2,3,2019,tt8637428
Crazy Rich Asians,1,3,2018,tt3104988
Ant-Man and the Wasp,2,3,2018,tt5095030
Warcraft,1,3,2016,tt0803096
Moana,1,3,2016,tt3521164
Neighbours 2,2,3,2016,tt4438848
Dawn of the Planet of the Apes,1,3,2014,tt2103281
Horrible Bosses 2,1,3,2014,tt2170439
How to Train Your Dragon 2,2,3,2014,tt1646971
The Hobbit Desolation of Smaug,1,3,2013,tt1170358
Thor the Dark World,1,3,2013,tt1981115
Monsters University,2,3,2013,tt1453405
The Dark Knight Rises,1,3,2012,tt1345836
The Amazing Spiderman,1,3,2012,tt0948470
Ted,1,3,2012,tt1637725
Men in Black 3,1,3,2012,tt1409024
Moonrise Kingdom,1,3,2012,tt1748122
Pirates of the Caribbean On Stranger Tides,1,3,2011,tt1298650
Rise of the Planet of the Apes,1,3,2011,tt1318514
Bad Teacher,2,3,2011,tt1284575
Little Fockers,2,3,2010,tt0970866
The Tourist,2,3,2010,tt1243957
Robin Hood,,3,2010,tt0955308
Iron Man 2,,3,2010,tt1228705
Fast & Furious,,3,2009,tt1013752
Quantum of Solace,,3,2008,tt0830515
The Incredible Hulk,,3,2008,tt0800080
Indiana Jones and the Kingdom of the Crystal Skull,,3,2008,tt0367882
Pirates of the Caribbean at World's End,1,3,2007,tt0449088
Shrek the Third,1,3,2007,tt0413267
The Legend of Zorro,1,3,2005,tt0386140
Star Wars I,1,3,1999,tt0120915
Rendezvous in Paris,2,3,1995,tt0114266
The Karate Kid II,1,3,1986,tt0091326
Ferris Bueller's Day Off,2,3,1986,tt0091042
My Brother's Wedding,2,3,1983,tt0087763
The Spirit of the Beehive,2,3,1973,tt0070040
The Conformist,2,3,1970,tt0065571
The Collector,2,3,1967,tt0061495
For a Few Dollars More,2,3,1965,tt0059578
Fists in the Pocket,2,3,1965,tt0059619
The Umbrellas of Cherbourg,2,3,1964,tt0058450
Pickpocket,2,3,1959,tt0053168
Night of the Demon,2,3,1957,tt0050766
Marty,2,3,1955,tt0048356
The Best Years of Our Lives,3,3,1946,tt0036868
The Palm Beach Story,2,3,1942,tt0035169
Dodsworth,2,3,1936,tt0027532
The Bothersome Man,2,3,2006,tt0808185
Summer Interlude,2,3,1951,tt0044060
Blow Out,,3,1981,tt0082085
"They Shoot Horses, Don't They?",,3,1969,tt0065088
Chupke Chupke,,3,1975,tt0072783
The Executioner,,3,1963,tt0057643
Caddyshack,2,3,1980,tt0080487
The Lives of Others,2,3,2006,tt0405094
The Matrix Ressurections,2,2,2021,tt10838180
The Irishman,1,2,2019,tt1302006
Bumblebee,1,2,2018,tt4701182
Guardians of the Galaxy 2,1,2,2017,tt3896198
Wonder Woman,1,2,2017,tt0451279
John Wick 2,1,2,2017,tt4425200
Thee Billboards Outside Mississpi,2,2,2017,tt5027774
Suicide Squad,1,2,2016,tt1386697
David Brent Life on the Road,1,2,2016,tt3137630
Kung Fu Panda 3,1,2,2016,tt2267968
Avengers Age of Ultron,1,2,2015,tt2395427
Furious 7,1,2,2015,tt2820852
Minions,1,2,2015,tt2293640
Cinderella,1,2,2015,tt1661199
Spongebob Out of Water,1,2,2015,tt2279373
Sin City A Dame to Kill For,1,2,2014,tt0458481
The Expendables 3,1,2,2014,tt2333784
Godzilla,1,2,2014,tt0831387
Machete Kills,1,2,2013,tt2002718
The Expendables 2,1,2,2012,tt1764651
The Watch,1,2,2012,tt1298649
Transformers Dark of the Moon,1,2,2011,tt1399103
Sherlock Holmes a Game of Shadows,2,2,2011,tt1515091
Puss in Boots,1,2,2011,tt0448694
Paranormal Activity 3,1,2,2011,tt1778304
Drive Angry,1,2,2011,tt1502404
Alice in Wonderland,1,2,2010,tt1014759
Transformers Revenge of the Fallen,1,2,2010,tt1055369
Takers,,2,2010,tt1135084
Piranha 3D,,2,2010,tt0464154
The Karate Kid,,2,2010,tt1155076
Clash of the Titans,,2,2010,tt0800320
The Box,,2,2009,tt0362478
Terminator Salvation,,2,2009,tt0438488
Madagascar 2 Escape to Africa,,2,2008,tt0479952
"10,000 BC",,2,2008,tt0443649
Rush Hour 3,1,2,2007,tt0293564
The Golden Compass,,2,2007,tt0385752
Good Luck Chuck,,2,2007,tt0452625
Ghost Rider,,2,2007,tt0259324
Epic Movie,,2,2007,tt0799949
Star Wars II,1,2,2002,tt0121765
Grease,1,2,1978,tt0077631
My Fair Lady,2,2,1964,tt0058385
A Woman is a Woman,1,2,1961,tt0055572
To Catch a Theif,2,2,1955,tt0048728
Bride of Frankenstein,2,2,1935,tt0026138
Nosferatu,2,2,1922,tt0013442
The Act of Klling,1,2,2012,tt2375605
The Woman in the Window,1,2,1944,tt0037469
The Legend of Maula Jatt,1,2,2022,tt4139928
Star Wars Episode IX Rise of Skywalker,1,1,2019,tt2527338
Blade Runner 2049,1,1,2017,tt1856101
Fantastic Beasts,1,1,2016,tt3183660
The Jungle Book,1,1,2016,tt3040964
Batman V Superman,1,1,2016,tt2975590
Pan,1,1,2015,tt3332064
The Hobbit Battle of the Five Armies,1,1,2014,tt2310332
Kick-Ass 2,1,1,2013,tt1650554
Snow White and the Huntsman,1,1,2012,tt1735898
The Smurfs,1,1,2011,tt0472181
Cats & Dogs The Revenge of Kitty Galore,,1,2010,tt1287468
Shrek Forever After,,1,2010,tt0892791
Rambo,,1,2008,tt0462499
Fantastic Four Rise of the Silver Surfer,,1,2007,tt0486576
